Ticket_ID,Created_Date,Resolved_Date,Support_Team,Support_Engineer,Application_Module,Issue_Category,Priority,Ticket_Status,Resolution_Days,SLA_Target_Days,SLA_Status,CSAT_Score
TKT00001,2024-10-01,2024-10-05,Integration Support,Pooja,Reporting,Bug,critical,closed,4,1,Breached,1
TKT00002,2024-02-05,2024-02-06,Database Support,Vikram,Login,Performance Issue,high,resolved,1,2,Met,NULL
TKT00003,2024-10-22,NULL,Application Support,Priya,API Integration,Access Issue,critical,in progress,NULL,1,NULL,NULL
TKT00004,2024-03-01,NULL,Database Support,Rohit,Reporting,Configuration Issue,medium,pending client,NULL,3,NULL,NULL
TKT00005,2024-02-19,2024-02-19,Application Support,Karthik,User Management,Configuration Issue,high,closed,0,2,Met,5
TKT00006,2024-07-04,NULL,Infrastructure Support,Meena,Reporting,Access Issue,high,pending client,NULL,2,NULL,NULL
TKT00007,2024-09-10,2024-09-12,Database Support,Vikram,User Management,Data Issue,medium,pending client,2,3,Met,NULL
TKT00008,2024-06-24,2024-06-24,Application Support,Rahul,"User Management ",Performance Issue,critical,resolved,0,1,Met,4
TKT00009,2024-12-21,NULL,Application Support,Karthik,User Management,Data Issue,high,pending client,NULL,2,NULL,NULL
TKT00010,2024-12-22,2024-12-25,Infrastructure Support,Naveen,Login,Data Issue,high,closed,3,2,Breached,NULL
TKT00011,2024-06-26,2024-06-29,Infrastructure Support,Meena,API Integration,Performance Issue,low,closed,3,5,Met,4
TKT00012,2024-05-27,2024-05-31,Application Support,Sneha,Login,Configuration Issue,low,resolved,4,5,Met,4
TKT00013,2024-10-08,2024-10-10,Infrastructure Support,Naveen,Payments,Performance Issue,high,pending client,2,2,Met,NULL
TKT00014,2024-03-18,2024-03-18,Integration Support,Divya,Orders,Performance Issue,critical,closed,0,1,Met,NULL
TKT00015,2024-05-14,NULL,Database Support,Vikram,Reporting,Access Issue,critical,pending client,NULL,1,NULL,NULL
TKT00016,2024-12-19,2024-12-19,Integration Support,Tarun,User Management,Data Issue,critical,closed,0,1,Met,5
TKT00017,2024-09-03,NULL,Infrastructure Support,Harish,Reporting,Performance Issue,critical,in progress,NULL,1,NULL,NULL
TKT00018,2024-11-03,2024-11-05,Database Support,Neha,Payments,Bug,high,closed,2,2,Met,NULL
TKT00019,2024-04-16,NULL,Application Support,Amit,User Management,Bug,critical,in progress,NULL,1,NULL,NULL
TKT00020,2024-02-29,2024-02-29,Integration Support,Tarun,Orders,Performance Issue,critical,open,0,1,Met,NULL
TKT00021,2024-06-24,NULL,Infrastructure Support,Meena,Login,Configuration Issue,critical,pending client,NULL,1,NULL,NULL
TKT00022,2024-12-19,2024-12-20,Application Support,Priya,User Management,Data Issue,critical,closed,1,1,Met,4
TKT00023,2024-07-01,2024-07-01,Application Support,Amit,User Management,Data Issue,critical,resolved,0,1,Met,5
TKT00024,2024-07-24,2024-08-01,Database Support,Sandeep,Payments,Configuration Issue,low,resolved,8,5,Breached,NULL
TKT00025,2024-04-09,NULL,Application Support,Rahul,Orders,Performance Issue,high,pending client,NULL,2,NULL,NULL
TKT00026,2024-04-26,NULL,Integration Support,Manish,Login,Configuration Issue,critical,open,NULL,1,NULL,NULL
TKT00027,2024-11-25,2024-11-29,Application Support,Sneha,API Integration,Data Issue,low,closed,4,5,Met,3
TKT00028,2024-11-21,NULL,Database Support,Neha,Payments,Performance Issue,low,pending client,NULL,5,NULL,NULL
TKT00029,2024-03-22,2024-03-28,Infrastructure Support,Harish,Reporting,Bug,low,resolved,6,5,Breached,1
TKT00030,2024-12-02,NULL,Infrastructure Support,Kiran,User Management,Access Issue,high,pending client,NULL,2,NULL,NULL
TKT00031,2024-03-12,2024-03-13,Application Support,Rahul,API Integration,Bug,medium,in progress,1,3,Met,NULL
TKT00032,2024-09-13,2024-09-16,Database Support,Vikram,Orders,Configuration Issue,high,resolved,3,2,Breached,2
TKT00033,2024-12-05,2024-12-05,Infrastructure Support,Kiran,Login,Data Issue,high,in progress,0,2,Met,NULL
TKT00034,2024-01-10,2024-01-13,Database Support,Sandeep,Payments,Access Issue,medium,open,3,3,Met,NULL
TKT00035,2024-03-02,2024-03-02,Database Support,Anjali,Payments,Performance Issue,medium,closed,0,3,Met,5
TKT00036,2024-04-07,NULL,Infrastructure Support,Naveen,User Management,Bug,critical,pending client,NULL,1,NULL,NULL
TKT00037,2024-06-15,2024-06-15,Infrastructure Support,Lakshmi,Login,Bug,high,resolved,0,2,Met,4
TKT00038,2024-10-13,2024-10-17,Infrastructure Support,Lakshmi,Payments,Access Issue,high,resolved,4,2,Breached,1
TKT00039,2024-05-03,NULL,Infrastructure Support,Harish,Orders,Bug,low,in progress,NULL,5,NULL,NULL
TKT00040,2024-05-09,2024-05-09,Application Support,Priya,API Integration,Data Issue,critical,resolved,0,1,Met,3
TKT00041,2024-04-24,2024-04-30,Application Support,Sneha,Reporting,Configuration Issue,low,resolved,6,5,Breached,3
TKT00042,2024-07-06,2024-07-06,Infrastructure Support,Kiran,Orders,Data Issue,critical,closed,0,1,Met,4
