Ticket_ID,Created_Date,Resolved_Date,Support_Team,Support_Engineer,Application_Module,Issue_Category,Priority,Ticket_Status,Resolution_Days,SLA_Target_Days,SLA_Status,CSAT_Score
TKT00001,2024-10-01,2024-10-05,Integration Support,Pooja,Reporting,Bug,Critical,closed,4.0,1,Breached,1.0
TKT00002,2024-02-05,2024-02-06,Database Support,Vikram,Login,Performance Issue,HIGH,resolved,1.0,2,Met,
TKT00003,2024-10-22,,Application Support,Priya,API Integration,Access Issue,Critical,In Progress,,1,,
TKT00004,2024-03-01,,Database Support,Rohit,Reporting,Configuration Issue,Medium,Pending Client,,3,,
TKT00005,2024-02-19,2024-02-19,Application Support,Karthik,User Management,Configuration Issue,High,closed,0.0,2,Met,5.0
TKT00006,2024-07-04,,Infrastructure Support,Meena,Reporting,Access Issue,HIGH,Pending Client,,2,,
TKT00007,2024-09-10,2024-09-12,Database Support,Vikram,User Management,Data Issue,Medium,Pending client,2.0,3,Met,
TKT00008,2024-06-24,2024-06-24,Application Support,Rahul,User Management ,Performance Issue,critical,Resolved,0.0,1,Met,4.0
TKT00009,2024-12-21,,Application Support,Karthik,User Management,Data Issue,High,Pending client,,2,,
TKT00010,2024-12-22,2024-12-25,Infrastructure Support,Naveen,Login,Data Issue,HIGH,closed,3.0,2,Breached,
TKT00011,2024-06-26,2024-06-29,Infrastructure Support,Meena,API Integration,Performance Issue,Low,Closed,3.0,5,Met,4.0
TKT00012,2024-05-27,2024-05-31,Application Support,Sneha,Login,Configuration Issue,low,Resolved,4.0,5,Met,4.0
TKT00013,2024-10-08,2024-10-10,Infrastructure Support,Naveen,Payments,Performance Issue,HIGH,Pending Client,2.0,2,Met,
TKT00014,2024-03-18,2024-03-18,Integration Support,Divya,Orders,Performance Issue,critical,closed,0.0,1,Met,
TKT00015,2024-05-14,,Database Support,Vikram,Reporting,Access Issue,critical,Pending Client,,1,,
TKT00016,2024-12-19,2024-12-19,Integration Support,Tarun,User Management,Data Issue,critical,Closed,0.0,1,Met,5.0
TKT00017,2024-09-03,,Infrastructure Support,Harish,Reporting,Performance Issue,Critical,In Progress,,1,,
TKT00018,2024-11-03,2024-11-05,Database Support,Neha,Payments,Bug,High,Closed,2.0,2,Met,
